"","date","GSPC.Adjusted"
"2529","2000-01-03",1455.219971
"2530","2000-01-04",1399.420044
"2531","2000-01-05",1402.109985
"2532","2000-01-06",1403.449951
"2533","2000-01-07",1441.469971
"2534","2000-01-10",1457.599976
"2535","2000-01-11",1438.560059
"2536","2000-01-12",1432.25
"2537","2000-01-13",1449.680054
"2538","2000-01-14",1465.150024
"2539","2000-01-18",1455.140015
"2540","2000-01-19",1455.900024
"2541","2000-01-20",1445.569946
"2542","2000-01-21",1441.359985
"2543","2000-01-24",1401.530029
"2544","2000-01-25",1410.030029
"2545","2000-01-26",1404.089966
"2546","2000-01-27",1398.560059
"2547","2000-01-28",1360.160034
"2548","2000-01-31",1394.459961
"2549","2000-02-01",1409.280029
"2550","2000-02-02",1409.119995
"2551","2000-02-03",1424.969971
"2552","2000-02-04",1424.369995
"2553","2000-02-07",1424.23999
"2554","2000-02-08",1441.719971
"2555","2000-02-09",1411.709961
"2556","2000-02-10",1416.829956
"2557","2000-02-11",1387.119995
"2558","2000-02-14",1389.939941
"2559","2000-02-15",1402.050049
"2560","2000-02-16",1387.670044
"2561","2000-02-17",1388.26001
"2562","2000-02-18",1346.089966
"2563","2000-02-22",1352.170044
"2564","2000-02-23",1360.689941
"2565","2000-02-24",1353.430054
"2566","2000-02-25",1333.359985
"2567","2000-02-28",1348.050049
"2568","2000-02-29",1366.420044
"2569","2000-03-01",1379.189941
"2570","2000-03-02",1381.76001
"2571","2000-03-03",1409.170044
"2572","2000-03-06",1391.280029
"2573","2000-03-07",1355.619995
"2574","2000-03-08",1366.699951
"2575","2000-03-09",1401.689941
"2576","2000-03-10",1395.069946
"2577","2000-03-13",1383.619995
"2578","2000-03-14",1359.150024
"2579","2000-03-15",1392.140015
"2580","2000-03-16",1458.469971
"2581","2000-03-17",1464.469971
"2582","2000-03-20",1456.630005
"2583","2000-03-21",1493.869995
"2584","2000-03-22",1500.640015
"2585","2000-03-23",1527.349976
"2586","2000-03-24",1527.459961
"2587","2000-03-27",1523.859985
"2588","2000-03-28",1507.72998
"2589","2000-03-29",1508.52002
"2590","2000-03-30",1487.920044
"2591","2000-03-31",1498.579956
"2592","2000-04-03",1505.969971
"2593","2000-04-04",1494.72998
"2594","2000-04-05",1487.369995
"2595","2000-04-06",1501.339966
"2596","2000-04-07",1516.349976
"2597","2000-04-10",1504.459961
"2598","2000-04-11",1500.589966
"2599","2000-04-12",1467.170044
"2600","2000-04-13",1440.51001
"2601","2000-04-14",1356.560059
"2602","2000-04-17",1401.439941
"2603","2000-04-18",1441.609985
"2604","2000-04-19",1427.469971
"2605","2000-04-20",1434.540039
"2606","2000-04-24",1429.859985
"2607","2000-04-25",1477.439941
"2608","2000-04-26",1460.98999
"2609","2000-04-27",1464.920044
"2610","2000-04-28",1452.430054
"2611","2000-05-01",1468.25
"2612","2000-05-02",1446.290039
"2613","2000-05-03",1415.099976
"2614","2000-05-04",1409.569946
"2615","2000-05-05",1432.630005
"2616","2000-05-08",1424.170044
"2617","2000-05-09",1412.140015
"2618","2000-05-10",1383.050049
"2619","2000-05-11",1407.810059
"2620","2000-05-12",1420.959961
"2621","2000-05-15",1452.359985
"2622","2000-05-16",1466.040039
"2623","2000-05-17",1447.800049
"2624","2000-05-18",1437.209961
"2625","2000-05-19",1406.949951
"2626","2000-05-22",1400.719971
"2627","2000-05-23",1373.859985
"2628","2000-05-24",1399.050049
"2629","2000-05-25",1381.52002
"2630","2000-05-26",1378.02002
"2631","2000-05-30",1422.449951
"2632","2000-05-31",1420.599976
"2633","2000-06-01",1448.810059
"2634","2000-06-02",1477.26001
"2635","2000-06-05",1467.630005
"2636","2000-06-06",1457.839966
"2637","2000-06-07",1471.359985
"2638","2000-06-08",1461.670044
"2639","2000-06-09",1456.949951
"2640","2000-06-12",1446
"2641","2000-06-13",1469.439941
"2642","2000-06-14",1470.540039
"2643","2000-06-15",1478.72998
"2644","2000-06-16",1464.459961
"2645","2000-06-19",1486
"2646","2000-06-20",1475.949951
"2647","2000-06-21",1479.130005
"2648","2000-06-22",1452.180054
"2649","2000-06-23",1441.47998
"2650","2000-06-26",1455.310059
"2651","2000-06-27",1450.550049
"2652","2000-06-28",1454.819946
"2653","2000-06-29",1442.390015
"2654","2000-06-30",1454.599976
"2655","2000-07-03",1469.540039
"2656","2000-07-05",1446.22998
"2657","2000-07-06",1456.670044
"2658","2000-07-07",1478.900024
"2659","2000-07-10",1475.619995
"2660","2000-07-11",1480.880005
"2661","2000-07-12",1492.920044
"2662","2000-07-13",1495.839966
"2663","2000-07-14",1509.97998
"2664","2000-07-17",1510.48999
"2665","2000-07-18",1493.73999
"2666","2000-07-19",1481.959961
"2667","2000-07-20",1495.569946
"2668","2000-07-21",1480.189941
"2669","2000-07-24",1464.290039
"2670","2000-07-25",1474.469971
"2671","2000-07-26",1452.420044
"2672","2000-07-27",1449.619995
"2673","2000-07-28",1419.890015
"2674","2000-07-31",1430.829956
"2675","2000-08-01",1438.099976
"2676","2000-08-02",1438.699951
"2677","2000-08-03",1452.560059
"2678","2000-08-04",1462.930054
"2679","2000-08-07",1479.319946
"2680","2000-08-08",1482.800049
"2681","2000-08-09",1472.869995
"2682","2000-08-10",1460.25
"2683","2000-08-11",1471.839966
"2684","2000-08-14",1491.560059
"2685","2000-08-15",1484.430054
"2686","2000-08-16",1479.849976
"2687","2000-08-17",1496.069946
"2688","2000-08-18",1491.719971
"2689","2000-08-21",1499.47998
"2690","2000-08-22",1498.130005
"2691","2000-08-23",1505.969971
"2692","2000-08-24",1508.310059
"2693","2000-08-25",1506.449951
"2694","2000-08-28",1514.089966
"2695","2000-08-29",1509.839966
"2696","2000-08-30",1502.589966
"2697","2000-08-31",1517.680054
"2698","2000-09-01",1520.77002
"2699","2000-09-05",1507.079956
"2700","2000-09-06",1492.25
"2701","2000-09-07",1502.51001
"2702","2000-09-08",1494.5
"2703","2000-09-11",1489.26001
"2704","2000-09-12",1481.98999
